jerseyNumber,person_fullName,person_id,person_link,position_abbreviation,position_code,position_name,position_type,team,teamFullName,year
40,Carter Hutton,8475622,/api/v1/people/8475622,G,G,Goalie,Goalie,CHI,Chicago Blackhawks,20122013
32,Brian Lashoff,8474873,/api/v1/people/8474873,D,D,Defenseman,Defenseman,DET,Detroit Red Wings,20122013
12,Damien Brunner,8477059,/api/v1/people/8477059,RW,R,Right Wing,Forward,DET,Detroit Red Wings,20122013
65,Danny DeKeyser,8477215,/api/v1/people/8477215,D,D,Defenseman,Defenseman,DET,Detroit Red Wings,20122013
34,Petr Mrazek,8475852,/api/v1/people/8475852,G,G,Goalie,Goalie,DET,Detroit Red Wings,20122013
46,Kevin Henderson,8471912,/api/v1/people/8471912,LW,L,Left Wing,Forward,NSH,Nashville Predators,20122013
28,Victor Bartley,8473658,/api/v1/people/8473658,D,D,Defenseman,Defenseman,NSH,Nashville Predators,20122013
28,Taylor Beck,8475192,/api/v1/people/8475192,LW,L,Left Wing,Forward,NSH,Nashville Predators,20122013
51,Austin Watson,8475766,/api/v1/people/8475766,LW,L,Left Wing,Forward,NSH,Nashville Predators,20122013
72,Joonas Rask,8475893,/api/v1/people/8475893,C,C,Center,Forward,NSH,Nashville Predators,20122013
50,Daniel Bang,8476835,/api/v1/people/8476835,LW,L,Left Wing,Forward,NSH,Nashville Predators,20122013
9,Filip Forsberg,8476887,/api/v1/people/8476887,LW,L,Left Wing,Forward,NSH,Nashville Predators,20122013
91,Vladimir Tarasenko,8475765,/api/v1/people/8475765,RW,R,Right Wing,Forward,STL,St. Louis Blues,20122013
23,Dmitrij Jaskin,8476436,/api/v1/people/8476436,RW,R,Right Wing,Forward,STL,St. Louis Blues,20122013
45,Mark Cundari,8474837,/api/v1/people/8474837,D,D,Defenseman,Defenseman,CGY,Calgary Flames,20122013
46,Carter Bancks,8474844,/api/v1/people/8474844,LW,L,Left Wing,Forward,CGY,Calgary Flames,20122013
58,Ben Hanowski,8475196,/api/v1/people/8475196,RW,R,Right Wing,Forward,CGY,Calgary Flames,20122013
23,Max Reinhart,8475733,/api/v1/people/8475733,C,C,Center,Forward,CGY,Calgary Flames,20122013
46,Ben Street,8476043,/api/v1/people/8476043,C,C,Center,Forward,CGY,Calgary Flames,20122013
10,Roman Cervenka,8476834,/api/v1/people/8476834,C,C,Center,Forward,CGY,Calgary Flames,20122013
58,Patrick Bordeleau,8471326,/api/v1/people/8471326,LW,L,Left Wing,Forward,COL,Colorado Avalanche,20122013
14,Michael Sgarbossa,8475958,/api/v1/people/8475958,C,C,Center,Forward,COL,Colorado Avalanche,20122013
74,Sami Aittokallio,8475824,/api/v1/people/8475824,G,G,Goalie,Goalie,COL,Colorado Avalanche,20122013
4,Justin Schultz,8474602,/api/v1/people/8474602,D,D,Defenseman,Defenseman,EDM,Edmonton Oilers,20122013
33,Mark Arcobello,8476062,/api/v1/people/8476062,RW,R,Right Wing,Forward,EDM,Edmonton Oilers,20122013
64,Nail Yakupov,8476855,/api/v1/people/8476855,RW,R,Right Wing,Forward,EDM,Edmonton Oilers,20122013
13,Steven Pinizzotto,8473911,/api/v1/people/8473911,RW,R,Right Wing,Forward,VAN,Vancouver Canucks,20122013
