jerseyNumber,person_fullName,person_id,person_link,position_abbreviation,position_code,position_name,position_type,team,teamFullName,year
37,Shawn Anderson,8444957,/api/v1/people/8444957,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
13,Jamie Baker,8445202,/api/v1/people/8445202,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
10,Aaron Broten,8445725,/api/v1/people/8445725,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
6,Joe Cirella,8446062,/api/v1/people/8446062,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
23,Lucien DeBlois,8446353,/api/v1/people/8446353,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
33,Daniel Dore,8446432,/api/v1/people/8446432,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
2,Mario Doyon,8446475,/api/v1/people/8446475,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
29,Steven Finn,8446825,/api/v1/people/8446825,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
43,Bryan Fogarty,8446873,/api/v1/people/8446873,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
9,Marc Fortier,8446935,/api/v1/people/8446935,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
12,Paul Gillis,8447192,/api/v1/people/8447192,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
5,Alexei Gusarov,8447363,/api/v1/people/8447363,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
18,Mike Hough,8447985,/api/v1/people/8447985,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
12,Tony Hrkac,8448017,/api/v1/people/8448017,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
14,Jeff Jackson,8448204,/api/v1/people/8448204,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
29,Darin Kimble,8448483,/api/v1/people/8448483,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
10,Guy Lafleur,8448624,/api/v1/people/8448624,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
13,Claude Lapointe,8448674,/api/v1/people/8448674,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
27,David Latta,8448686,/api/v1/people/8448686,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
7,Curtis Leschyshyn,8448797,/api/v1/people/8448797,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
19,Claude Loiselle,8448870,/api/v1/people/8448870,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
41,Michael McNeil,8449401,/api/v1/people/8449401,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
25,Tony McKegney,8449445,/api/v1/people/8449445,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
12,Ken McRae,8449463,/api/v1/people/8449463,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
14,Kip Miller,8449633,/api/v1/people/8449633,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
25,Stephane Morin,8449698,/api/v1/people/8449698,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
11,Owen Nolan,8449895,/api/v1/people/8449895,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
22,Scott Pearson,8450267,/api/v1/people/8450267,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
24,Michel Petit,8450348,/api/v1/people/8450348,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
44,Ken Quinney,8450611,/api/v1/people/8450611,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
25,Herb Raglan,8450650,/api/v1/people/8450650,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
39,Serge Roberge,8450889,/api/v1/people/8450889,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
19,Joe Sakic,8451101,/api/v1/people/8451101,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
21,Everett Sanipass,8451117,/api/v1/people/8451117,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
3,Greg Smyth,8451570,/api/v1/people/8451570,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
13,Mats Sundin,8451774,/api/v1/people/8451774,C,C,Center,Forward,QUE,Quebec Nordiques,19901991
,Tony Twist,8452019,/api/v1/people/8452019,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
23,Wayne Van Dorp,8452159,/api/v1/people/8452159,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
27,Randy Velischek,8452209,/api/v1/people/8452209,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
45,Mark Vermette,8452221,/api/v1/people/8452221,RW,R,Right Wing,Forward,QUE,Quebec Nordiques,19901991
11,Dan Vincelette,8452226,/api/v1/people/8452226,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
6,Craig Wolanin,8452516,/api/v1/people/8452516,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
50,Dan Lambert,8456956,/api/v1/people/8456956,D,D,Defenseman,Defenseman,QUE,Quebec Nordiques,19901991
42,Bruce Major,8457185,/api/v1/people/8457185,LW,L,Left Wing,Forward,QUE,Quebec Nordiques,19901991
31,Jacques Cloutier,8446089,/api/v1/people/8446089,G,G,Goalie,Goalie,QUE,Quebec Nordiques,19901991
35,Stephane Fiset,8446831,/api/v1/people/8446831,G,G,Goalie,Goalie,QUE,Quebec Nordiques,19901991
30,Scott Gordon,8447291,/api/v1/people/8447291,G,G,Goalie,Goalie,QUE,Quebec Nordiques,19901991
31,Ron Tugnutt,8451837,/api/v1/people/8451837,G,G,Goalie,Goalie,QUE,Quebec Nordiques,19901991
34,John Tanner,8451859,/api/v1/people/8451859,G,G,Goalie,Goalie,QUE,Quebec Nordiques,19901991
11,Scott Arniel,8445088,/api/v1/people/8445088,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
15,Brent Ashton,8445118,/api/v1/people/8445118,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
37,Don Barber,8445253,/api/v1/people/8445253,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
8,Randy Carlyle,8445938,/api/v1/people/8445938,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
19,Danton Cole,8446127,/api/v1/people/8446127,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
44,Shawn Cronin,8446243,/api/v1/people/8446243,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
34,Gord Donnelly,8446437,/api/v1/people/8446437,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
33,Kris Draper,8446485,/api/v1/people/8446485,C,C,Center,Forward,WIN,Winnipeg Jets (1979),19901991
19,Craig Duncanson,8446508,/api/v1/people/8446508,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
36,Iain Duncan,8446516,/api/v1/people/8446516,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
11,Mike Eagles,8446551,/api/v1/people/8446551,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
2,Dave Ellett,8446626,/api/v1/people/8446626,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
15,Pat Elynuik,8446676,/api/v1/people/8446676,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
15,Bryan Erickson,8446705,/api/v1/people/8446705,C,C,Center,Forward,WIN,Winnipeg Jets (1979),19901991
32,Doug Evans,8446735,/api/v1/people/8446735,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
42,Paul Fenton,8446797,/api/v1/people/8446797,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
96,Phil Housley,8447989,/api/v1/people/8447989,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
26,Sergei Kharin,8448481,/api/v1/people/8448481,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
21,Mark Kumpel,8448563,/api/v1/people/8448563,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
11,Guy Larose,8448678,/api/v1/people/8448678,C,C,Center,Forward,WIN,Winnipeg Jets (1979),19901991
23,Paul MacDermid,8448919,/api/v1/people/8448919,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
20,Moe Mantha,8449122,/api/v1/people/8449122,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
7,Bryan Marchment,8449137,/api/v1/people/8449137,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
20,Dave McLlwain,8449488,/api/v1/people/8449488,C,C,Center,Forward,WIN,Winnipeg Jets (1979),19901991
27,Teppo Numminen,8449924,/api/v1/people/8449924,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
2,Fredrik Olausson,8449971,/api/v1/people/8449971,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
12,Eddie Olczyk,8449973,/api/v1/people/8449973,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
19,Mark Osborne,8450073,/api/v1/people/8450073,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
28,Greg Paslawski,8450200,/api/v1/people/8450200,RW,R,Right Wing,Forward,WIN,Winnipeg Jets (1979),19901991
29,Rudy Poeschek,8450486,/api/v1/people/8450486,D,D,Defenseman,Defenseman,WIN,Winnipeg Jets (1979),19901991
9,Doug Smail,8451567,/api/v1/people/8451567,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
25,Thomas Steen,8451697,/api/v1/people/8451697,C,C,Center,Forward,WIN,Winnipeg Jets (1979),19901991
7,Phil Sykes,8451828,/api/v1/people/8451828,LW,L,Left Wing,Forward,WIN,Winnipeg Jets (1979),19901991
41,Simon Wheeldon,8452377,/api/v1/people/8452377,C,C,Center,Forward,WIN,Winnipeg Jets (1979),19901991
38,Luciano Borsato,8455659,/api/v1/people/8455659,C,C,Center,Forward,WIN,Winnipeg Jets (1979),19901991
30,Stephane Beauregard,8445382,/api/v1/people/8445382,G,G,Goalie,Goalie,WIN,Winnipeg Jets (1979),19901991
31,Bob Essensa,8446719,/api/v1/people/8446719,G,G,Goalie,Goalie,WIN,Winnipeg Jets (1979),19901991
31,Rick Tabaracci,8451834,/api/v1/people/8451834,G,G,Goalie,Goalie,WIN,Winnipeg Jets (1979),19901991
6,Tommy Albelin,8444919,/api/v1/people/8444919,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
25,Perry Anderson,8444947,/api/v1/people/8444947,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
16,Laurie Boschman,8445603,/api/v1/people/8445603,C,C,Center,Forward,NJD,New Jersey Devils,19901991
12,Neil Brady,8445657,/api/v1/people/8445657,C,C,Center,Forward,NJD,New Jersey Devils,19901991
17,Doug Brown,8445730,/api/v1/people/8445730,RW,R,Right Wing,Forward,NJD,New Jersey Devils,19901991
28,Pat Conacher,8446129,/api/v1/people/8446129,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
18,Zdeno Ciger,8446133,/api/v1/people/8446133,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
25,Troy Crowder,8446252,/api/v1/people/8446252,RW,R,Right Wing,Forward,NJD,New Jersey Devils,19901991
3,Ken Daneyko,8446309,/api/v1/people/8446309,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
33,Bruce Driver,8446484,/api/v1/people/8446484,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
2,Viacheslav Fetisov,8446789,/api/v1/people/8446789,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
7,Jamie Huscroft,8448104,/api/v1/people/8448104,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
7,Alexei Kasatonov,8448416,/api/v1/people/8448416,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
32,Claude Lemieux,8448772,/api/v1/people/8448772,RW,R,Right Wing,Forward,NJD,New Jersey Devils,19901991
21,Jeff Madill,8449029,/api/v1/people/8449029,RW,R,Right Wing,Forward,NJD,New Jersey Devils,19901991
8,David Maley,8449095,/api/v1/people/8449095,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
42,Dave Marcinyshyn,8449136,/api/v1/people/8449136,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
51,John MacLean,8449499,/api/v1/people/8449499,RW,R,Right Wing,Forward,NJD,New Jersey Devils,19901991
12,Jason Miller,8449632,/api/v1/people/8449632,C,C,Center,Forward,NJD,New Jersey Devils,19901991
20,Jon Morris,8449718,/api/v1/people/8449718,C,C,Center,Forward,NJD,New Jersey Devils,19901991
22,Kirk Muller,8449740,/api/v1/people/8449740,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
23,Lee Norwood,8449905,/api/v1/people/8449905,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
4,Myles O'Connor,8449939,/api/v1/people/8449939,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
8,Walt Poddubny,8450483,/api/v1/people/8450483,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
14,Brendan Shanahan,8451302,/api/v1/people/8451302,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
18,Jarrod Skalde,8451392,/api/v1/people/8451392,C,C,Center,Forward,NJD,New Jersey Devils,19901991
26,Peter Stastny,8451689,/api/v1/people/8451689,C,C,Center,Forward,NJD,New Jersey Devils,19901991
10,Allan Stewart,8451719,/api/v1/people/8451719,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
17,Patrik Sundstrom,8451786,/api/v1/people/8451786,C,C,Center,Forward,NJD,New Jersey Devils,19901991
14,Kevin Todd,8451901,/api/v1/people/8451901,C,C,Center,Forward,NJD,New Jersey Devils,19901991
8,Eric Weinrich,8452353,/api/v1/people/8452353,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,19901991
14,Paul Ysebaert,8452571,/api/v1/people/8452571,LW,L,Left Wing,Forward,NJD,New Jersey Devils,19901991
1,Sean Burke,8445769,/api/v1/people/8445769,G,G,Goalie,Goalie,NJD,New Jersey Devils,19901991
1,Roland Melanson,8449547,/api/v1/people/8449547,G,G,Goalie,Goalie,NJD,New Jersey Devils,19901991
30,Chris Terreri,8451860,/api/v1/people/8451860,G,G,Goalie,Goalie,NJD,New Jersey Devils,19901991
34,Mikael Andersson,8444963,/api/v1/people/8444963,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
4,Jergus Baca,8445195,/api/v1/people/8445195,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
44,Dave Babych,8445208,/api/v1/people/8445208,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
23,Marc Bergevin,8445428,/api/v1/people/8445428,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
21,James Black,8445493,/api/v1/people/8445493,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
44,Rob Brown,8445689,/api/v1/people/8445689,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
7,Adam Burt,8445783,/api/v1/people/8445783,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
26,Yvon Corriveau,8446163,/api/v1/people/8446163,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
3,Sylvain Cote,8446181,/api/v1/people/8446181,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
3,Doug Crossman,8446238,/api/v1/people/8446238,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
11,John Cullen,8446251,/api/v1/people/8446251,C,C,Center,Forward,HFD,Hartford Whalers,19901991
19,Randy Cunneyworth,8446261,/api/v1/people/8446261,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
22,Paul Cyr,8446264,/api/v1/people/8446264,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
11,Kevin Dineen,8446423,/api/v1/people/8446423,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
12,Dean Evason,8446743,/api/v1/people/8446743,C,C,Center,Forward,HFD,Hartford Whalers,19901991
21,Ray Ferraro,8446823,/api/v1/people/8446823,C,C,Center,Forward,HFD,Hartford Whalers,19901991
10,Ron Francis,8446951,/api/v1/people/8446951,C,C,Center,Forward,HFD,Hartford Whalers,19901991
14,Christopher Govedaris,8447313,/api/v1/people/8447313,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
9,Mark Greig,8447383,/api/v1/people/8447383,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
16,Bobby Holik,8447958,/api/v1/people/8447958,C,C,Center,Forward,HFD,Hartford Whalers,19901991
6,Doug Houda,8447981,/api/v1/people/8447981,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
20,Mark Hunter,8448106,/api/v1/people/8448106,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
3,Grant Jennings,8448271,/api/v1/people/8448271,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
22,Edward Kastelic,8448413,/api/v1/people/8448413,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
21,Todd Krygier,8448549,/api/v1/people/8448549,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
29,Randy Ladouceur,8448616,/api/v1/people/8448616,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
19,Jim McKenzie,8449477,/api/v1/people/8449477,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
29,Jeffrey Parker,8450199,/api/v1/people/8450199,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
42,Michel Picard,8450357,/api/v1/people/8450357,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
5,Ulf Samuelsson,8451107,/api/v1/people/8451107,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
32,Brad Shaw,8451305,/api/v1/people/8451305,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
45,John Stevens,8451710,/api/v1/people/8451710,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
18,Chris Tancill,8451849,/api/v1/people/8451849,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
28,Mike Tomlak,8451863,/api/v1/people/8451863,C,C,Center,Forward,HFD,Hartford Whalers,19901991
16,Pat Verbeek,8452216,/api/v1/people/8452216,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
17,Carey Wilson,8452482,/api/v1/people/8452482,C,C,Center,Forward,HFD,Hartford Whalers,19901991
25,Terry Yake,8452557,/api/v1/people/8452557,C,C,Center,Forward,HFD,Hartford Whalers,19901991
48,Scott Young,8452569,/api/v1/people/8452569,RW,R,Right Wing,Forward,HFD,Hartford Whalers,19901991
33,Zarley Zalapski,8452584,/api/v1/people/8452584,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
42,Brian Chapman,8455833,/api/v1/people/8455833,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
46,Todd Richards,8457800,/api/v1/people/8457800,D,D,Defenseman,Defenseman,HFD,Hartford Whalers,19901991
8,Geoff Sanderson,8457921,/api/v1/people/8457921,LW,L,Left Wing,Forward,HFD,Hartford Whalers,19901991
49,Ross McKay,8449451,/api/v1/people/8449451,G,G,Goalie,Goalie,HFD,Hartford Whalers,19901991
31,Daryl Reaugh,8450702,/api/v1/people/8450702,G,G,Goalie,Goalie,HFD,Hartford Whalers,19901991
30,Peter Sidorkiewicz,8451369,/api/v1/people/8451369,G,G,Goalie,Goalie,HFD,Hartford Whalers,19901991
31,Kay Whitmore,8452440,/api/v1/people/8452440,G,G,Goalie,Goalie,HFD,Hartford Whalers,19901991
22,Ken Baumgartner,8445323,/api/v1/people/8445323,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
18,Bill Berg,8445424,/api/v1/people/8445424,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
46,Shawn Byram,8445823,/api/v1/people/8445823,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
54,Dave Chyzowski,8446023,/api/v1/people/8446023,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
28,Dean Chynoweth,8446081,/api/v1/people/8446081,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
15,Brad Dalgarno,8446289,/api/v1/people/8446289,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
18,Rob DiMaio,8446408,/api/v1/people/8446408,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
37,Jeff Finley,8446826,/api/v1/people/8446826,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
12,Tom Fitzgerald,8446830,/api/v1/people/8446830,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
8,Patrick Flatley,8446838,/api/v1/people/8446838,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
12,Paul Guay,8447435,/api/v1/people/8447435,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
5,Jari Gronstrand,8447436,/api/v1/people/8447436,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
10,Alan Kerr,8448467,/api/v1/people/8448467,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
29,Derek King,8448489,/api/v1/people/8448489,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
35,Richard Kromm,8448555,/api/v1/people/8448555,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
16,Pat LaFontaine,8448626,/api/v1/people/8448626,C,C,Center,Forward,NYI,New York Islanders,19901991
32,Brad Lauer,8448664,/api/v1/people/8448664,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
35,Derek Laxdal,8448687,/api/v1/people/8448687,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
17,Craig Ludwig,8448845,/api/v1/people/8448845,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
12,Don Maloney,8449102,/api/v1/people/8449102,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
6,Wayne McBean,8449328,/api/v1/people/8449328,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
39,Hubie McDonough,8449412,/api/v1/people/8449412,C,C,Center,Forward,NYI,New York Islanders,19901991
5,Jeff Norton,8449902,/api/v1/people/8449902,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
22,Gary Nylund,8449925,/api/v1/people/8449925,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
20,Gregory Parks,8450197,/api/v1/people/8450197,C,C,Center,Forward,NYI,New York Islanders,19901991
47,Rich Pilon,8450389,/api/v1/people/8450389,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
29,Joe Reekie,8450742,/api/v1/people/8450742,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
12,Brent Sutter,8451794,/api/v1/people/8451794,C,C,Center,Forward,NYI,New York Islanders,19901991
7,John Tucker,8451987,/api/v1/people/8451987,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
25,David Volek,8452239,/api/v1/people/8452239,LW,L,Left Wing,Forward,NYI,New York Islanders,19901991
12,Mick Vukota,8452240,/api/v1/people/8452240,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
11,Randy Wood,8452501,/api/v1/people/8452501,RW,R,Right Wing,Forward,NYI,New York Islanders,19901991
14,Scott Scissons,8457971,/api/v1/people/8457971,C,C,Center,Forward,NYI,New York Islanders,19901991
37,Dennis Vaske,8458300,/api/v1/people/8458300,D,D,Defenseman,Defenseman,NYI,New York Islanders,19901991
30,Mark Fitzpatrick,8446829,/api/v1/people/8446829,G,G,Goalie,Goalie,NYI,New York Islanders,19901991
33,Jeff Hackett,8447449,/api/v1/people/8447449,G,G,Goalie,Goalie,NYI,New York Islanders,19901991
30,Glenn Healy,8447709,/api/v1/people/8447709,G,G,Goalie,Goalie,NYI,New York Islanders,19901991
1,Daniel Lorenz,8448778,/api/v1/people/8448778,G,G,Goalie,Goalie,NYI,New York Islanders,19901991
40,George Maneluk,8449115,/api/v1/people/8449115,G,G,Goalie,Goalie,NYI,New York Islanders,19901991
17,Rick Bennett,8445384,/api/v1/people/8445384,LW,L,Left Wing,Forward,NYR,New York Rangers,19901991
38,Jeff Bloemberg,8445555,/api/v1/people/8445555,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
37,Paul Broten,8445736,/api/v1/people/8445736,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
28,Tie Domi,8446454,/api/v1/people/8446454,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
20,Jan Erixon,8446712,/api/v1/people/8446712,LW,L,Left Wing,Forward,NYR,New York Rangers,19901991
22,Mike Gartner,8447067,/api/v1/people/8447067,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
14,Mark Hardy,8447569,/api/v1/people/8447569,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
6,Miloslav Horava,8447959,/api/v1/people/8447959,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
16,Jody Hull,8448092,/api/v1/people/8448092,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
20,Mark Janssens,8448225,/api/v1/people/8448225,C,C,Center,Forward,NYR,New York Rangers,19901991
12,Kris King,8448487,/api/v1/people/8448487,LW,L,Left Wing,Forward,NYR,New York Rangers,19901991
11,Kelly Kisio,8448505,/api/v1/people/8448505,C,C,Center,Forward,NYR,New York Rangers,19901991
26,Joey Kocur,8448519,/api/v1/people/8448519,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
2,Brian Leetch,8448769,/api/v1/people/8448769,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
26,Troy Mallette,8449094,/api/v1/people/8449094,LW,L,Left Wing,Forward,NYR,New York Rangers,19901991
16,Brian McReynolds,8449487,/api/v1/people/8449487,C,C,Center,Forward,NYR,New York Rangers,19901991
32,Corey Millen,8449606,/api/v1/people/8449606,C,C,Center,Forward,NYR,New York Rangers,19901991
28,Kevin Miller,8449607,/api/v1/people/8449607,C,C,Center,Forward,NYR,New York Rangers,19901991
24,Randy Moller,8449662,/api/v1/people/8449662,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
19,Brian Mullen,8449742,/api/v1/people/8449742,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
9,Bernie Nicholls,8449881,/api/v1/people/8449881,C,C,Center,Forward,NYR,New York Rangers,19901991
25,John Ogrodnick,8449972,/api/v1/people/8449972,LW,L,Left Wing,Forward,NYR,New York Rangers,19901991
3,James Patrick,8450223,/api/v1/people/8450223,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
10,Steven Rice,8450812,/api/v1/people/8450812,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
5,Normand Rochefort,8450953,/api/v1/people/8450953,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
44,Lindy Ruff,8451053,/api/v1/people/8451053,LW,L,Left Wing,Forward,NYR,New York Rangers,19901991
21,David Shaw,8451314,/api/v1/people/8451314,D,D,Defenseman,Defenseman,NYR,New York Rangers,19901991
23,Ray Sheppard,8451343,/api/v1/people/8451343,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
8,Darren Turcotte,8451994,/api/v1/people/8451994,C,C,Center,Forward,NYR,New York Rangers,19901991
40,Dennis Vial,8452148,/api/v1/people/8452148,LW,L,Left Wing,Forward,NYR,New York Rangers,19901991
33,Tony Amonte,8455429,/api/v1/people/8455429,RW,R,Right Wing,Forward,NYR,New York Rangers,19901991
93,Doug Weight,8458361,/api/v1/people/8458361,C,C,Center,Forward,NYR,New York Rangers,19901991
35,Mike Richter,8450833,/api/v1/people/8450833,G,G,Goalie,Goalie,NYR,New York Rangers,19901991
